Metric,Description,ISO_42001_Mappings,Primary_Focus,Total_Mappings
AI Development Environmental Impact Score,"Tracks the environmental footprint of AI development, training, and deployment including energy consumption, carbon emissions, and resource utilisation.",4.1 (Understanding organisational context); 6.1.4 (AI system impact assessment); 7.1 (Resources); 7.2 (Competence); 7.3 (Awareness); A.4 (Resources for AI systems); A.5 (Assessing impacts of AI systems); A.6 (AI system life cycle),4.1,8
AI Ethics & Governance Training Completion Rate,Reflects the organisation's investment in training employees on ethical considerations and governance frameworks related to AI.,5.1 (Leadership and commitment); 5.2 (AI policy); 7.2 (Competence); 7.3 (Awareness); A.2 (Policies related to AI); A.3 (Internal organisation); A.5 (Assessing impacts of AI systems),5.1,7
AI Ethics Review Board Decision Consistency,Measures the consistency and quality of decisions made by AI ethics review boards or governance committees across similar cases and time periods.,5.1 (Leadership and commitment); 5.2 (AI policy); 9.2 (Internal audit); A.2 (Policies related to AI); A.3 (Internal organisation); A.5 (Assessing impacts of AI systems),5.1,6
AI governance budget as a percentage of total IT spend,"Within total AI spending, 2 to 5% of AI budgets are often specifically devoted to governance, compliance, assurance, and responsible AI tools",5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); 7.1 (Resources); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,8
AI Model Explainability Score,"Measures the degree to which AI model decisions can be understood and explained to stakeholders using quantitative explainability metrics such as SHAP values, LIME scores, or attention weights.",4.2 (Interested parties and stakeholders); 9.1 (Monitoring and measurement); A.8 (Information for interested parties); A.9 (Use of AI systems),4.2,4
AI Model Version Control Coverage,"Tracks the completeness of version control for AI models, including code, data, configurations, hyperparameters, and dependency management across development lifecycle.",4.3 (Scope determination); 4.4 (AI management system); 5.1 (Leadership and commitment); 7.5 (Documented information); 8.1 (Operational planning and control); A.4 (Resources for AI systems); A.6 (AI system life cycle); A.7 (Data for AI systems),4.3,8
AI Security Incident Rate,Tracks the frequency of security incidents related to AI systems.,10.2 (Nonconformity and corrective action); 6.1.2 (AI risk assessment); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement); A.4 (Resources for AI systems),10.2,5
AI Stakeholder Feedback Integration Rate,"Measures how effectively feedback from users, affected parties, and stakeholders is incorporated into AI system improvements and governance processes.",10.1 (Continual improvement); 4.2 (Interested parties and stakeholders); 4.4 (AI management system); 5.1 (Leadership and commitment); 5.2 (AI policy); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement); A.2 (Policies related to AI); A.3 (Internal organisation); A.4 (Resources for AI systems); A.8 (Information for interested parties); A.9 (Use of AI systems),10.1,12
AI System Average Uptime,Higher uptime indicates greater reliability and availability of AI systems.,8.1 (Operational planning and control); 9.1 (Monitoring and measurement); A.4 (Resources for AI systems),8.1,3
AI System Rollback Success Rate,"Measures the effectiveness of rolling back or reverting AI systems to previous versions when issues are detected, including data integrity preservation.",10.2 (Nonconformity and corrective action); A.4 (Resources for AI systems); A.6 (AI system life cycle); A.7 (Data for AI systems),10.2,4
